timestamp_ms,id,x1,y1,x2,y2
0.0,0,925,460,1122,552
0.0,1,287,443,692,592
0.0,2,0,427,264,572
0.0,3,1267,466,1381,542
0.0,4,1211,456,1307,523
0.0,5,870,436,912,536
33.36666666666667,0,922,460,1120,552
33.36666666666667,1,277,445,680,592
33.36666666666667,2,0,427,263,571
33.36666666666667,3,1265,466,1381,541
33.36666666666667,4,1211,456,1306,522
33.36666666666667,5,869,435,913,535
33.36666666666667,6,1350,429,1426,492
33.36666666666667,7,1822,594,1875,703
66.73333333333333,0,919,459,1118,552
66.73333333333333,1,266,445,670,592
66.73333333333333,2,0,427,262,571
66.73333333333333,3,1263,465,1380,540
66.73333333333333,4,1210,455,1307,522
66.73333333333333,5,869,434,912,535
66.73333333333333,6,1350,429,1426,492
66.73333333333333,7,1822,594,1875,703
66.73333333333333,8,1135,423,1250,513
100.10000000000001,0,915,459,1116,553
100.10000000000001,1,253,445,661,593
100.10000000000001,2,0,427,262,571
100.10000000000001,3,1263,463,1380,540
100.10000000000001,4,1209,454,1307,521
100.10000000000001,5,869,432,912,535
100.10000000000001,6,1350,429,1426,492
100.10000000000001,7,1822,594,1875,703
100.10000000000001,8,1136,423,1250,512
133.46666666666667,0,911,459,1113,553
133.46666666666667,1,241,445,652,593
133.46666666666667,2,0,426,260,571
133.46666666666667,3,1262,462,1379,540
133.46666666666667,4,1208,453,1306,520
133.46666666666667,5,868,432,910,534
133.46666666666667,6,1350,429,1426,492
133.46666666666667,7,1822,594,1875,703
133.46666666666667,8,1134,422,1249,513
166.83333333333334,0,906,459,1110,553
166.83333333333334,1,228,444,643,594
166.83333333333334,2,0,426,259,571
166.83333333333334,3,1261,461,1378,540
166.83333333333334,4,1208,452,1306,519
166.83333333333334,5,868,432,910,534
166.83333333333334,6,1350,429,1426,492
166.83333333333334,7,1822,594,1875,703
166.83333333333334,8,1132,422,1244,513
200.20000000000002,0,901,458,1107,553
200.20000000000002,1,215,444,634,594
200.20000000000002,2,0,426,258,571
200.20000000000002,3,1259,461,1377,540
200.20000000000002,4,1207,452,1305,519
200.20000000000002,5,868,432,910,534
200.20000000000002,6,1350,429,1426,492
200.20000000000002,7,1822,594,1875,703
200.20000000000002,8,1130,421,1241,513
233.56666666666666,0,896,458,1104,554
233.56666666666666,1,201,444,625,595
233.56666666666666,2,0,426,257,570
233.56666666666666,3,1258,461,1376,540
233.56666666666666,4,1206,451,1305,519
233.56666666666666,5,868,432,910,534
233.56666666666666,6,1350,429,1426,492
233.56666666666666,7,1822,594,1875,703
233.56666666666666,8,1129,421,1238,513
233.56666666666666,9,1022,431,1147,526
266.93333333333334,0,892,458,1101,554
266.93333333333334,1,187,443,616,595
266.93333333333334,2,0,425,255,570
266.93333333333334,3,1256,460,1375,540
266.93333333333334,4,1205,451,1305,519
266.93333333333334,5,868,432,910,534
266.93333333333334,6,1350,429,1426,492
266.93333333333334,7,1814,579,1870,703
266.93333333333334,8,1129,421,1238,513
266.93333333333334,9,1022,433,1144,527
300.3,0,887,458,1098,554
300.3,1,173,443,607,596
300.3,2,0,425,253,571
300.3,3,1255,460,1374,540
300.3,4,1204,451,1305,519
300.3,5,868,432,910,534
300.3,6,1350,429,1426,492
300.3,7,1814,579,1870,703
300.3,8,1127,421,1237,513
300.3,9,1018,433,1142,526
300.3,10,1656,448,1698,588
333.6666666666667,0,882,458,1094,554
333.6666666666667,1,159,443,597,597
333.6666666666667,2,0,425,251,570
333.6666666666667,3,1253,459,1372,540
333.6666666666667,4,1203,451,1305,519
333.6666666666667,5,868,432,910,534
333.6666666666667,6,1350,429,1426,492
333.6666666666667,7,1814,579,1870,703
333.6666666666667,8,1127,420,1237,513
333.6666666666667,9,1016,433,1141,526
333.6666666666667,10,1656,448,1698,588
367.03333333333336,0,877,457,1091,555
367.03333333333336,1,145,442,588,597
367.03333333333336,2,0,425,247,567
367.03333333333336,3,1252,459,1371,540
367.03333333333336,4,1202,450,1303,519
367.03333333333336,5,868,432,910,534
367.03333333333336,6,1350,429,1426,492
367.03333333333336,7,1814,581,1866,702
367.03333333333336,8,1126,420,1237,513
367.03333333333336,9,1016,432,1140,526
367.03333333333336,10,1656,448,1698,588
400.40000000000003,0,872,457,1087,555
400.40000000000003,1,145,442,588,597
400.40000000000003,2,0,426,265,571
400.40000000000003,3,1250,458,1370,540
400.40000000000003,4,1200,450,1301,519
400.40000000000003,5,868,432,910,534
400.40000000000003,6,1350,429,1426,492
400.40000000000003,7,1813,581,1864,702
400.40000000000003,8,1125,420,1235,513
400.40000000000003,9,1014,431,1138,526
400.40000000000003,10,1653,448,1696,585
400.40000000000003,11,365,423,534,536
433.7666666666667,0,867,456,1084,555
433.7666666666667,1,133,442,576,598
433.7666666666667,2,0,426,265,571
433.7666666666667,3,1248,458,1369,540
433.7666666666667,4,1199,449,1299,519
433.7666666666667,5,868,432,910,534
433.7666666666667,6,1350,429,1426,492
433.7666666666667,7,1813,581,1864,702
433.7666666666667,8,1124,420,1233,513
433.7666666666667,9,1014,431,1138,526
433.7666666666667,10,1653,448,1696,585
433.7666666666667,11,358,423,532,537
467.1333333333333,0,862,456,1080,556
467.1333333333333,1,133,442,576,598
467.1333333333333,2,0,427,277,574
467.1333333333333,3,1247,458,1367,540
467.1333333333333,4,1197,448,1297,519
467.1333333333333,5,868,432,910,534
467.1333333333333,6,1350,429,1426,492
467.1333333333333,7,1810,580,1862,702
467.1333333333333,8,1123,420,1231,513
467.1333333333333,9,1014,434,1136,527
467.1333333333333,10,1653,448,1696,585
467.1333333333333,11,351,422,530,538
500.50000000000006,0,856,455,1076,556
500.50000000000006,1,133,442,576,598
500.50000000000006,2,0,427,285,576
500.50000000000006,3,1245,457,1366,540
500.50000000000006,4,1196,448,1295,519
500.50000000000006,5,868,432,910,534
500.50000000000006,6,1350,429,1426,492
500.50000000000006,7,1810,580,1862,702
500.50000000000006,8,1122,419,1228,513
500.50000000000006,9,1013,436,1134,527
500.50000000000006,10,1653,448,1696,585
500.50000000000006,11,337,421,530,538
533.8666666666667,0,850,455,1072,556
533.8666666666667,1,133,442,576,598
533.8666666666667,2,0,428,291,579
533.8666666666667,3,1243,457,1364,540
533.8666666666667,4,1195,447,1294,519
533.8666666666667,5,868,432,910,534
533.8666666666667,6,1350,429,1426,492
533.8666666666667,7,1810,580,1862,702
533.8666666666667,8,1121,419,1226,512
533.8666666666667,9,1012,438,1132,527
533.8666666666667,10,1653,448,1696,585
533.8666666666667,11,337,421,530,538
567.2333333333333,0,844,455,1068,557
567.2333333333333,1,133,442,576,598
567.2333333333333,2,0,428,295,581
567.2333333333333,3,1241,456,1363,540
567.2333333333333,4,1195,447,1294,519
567.2333333333333,5,868,432,910,534
567.2333333333333,6,1340,429,1408,487
567.2333333333333,7,1810,580,1862,702
567.2333333333333,8,1120,419,1224,512
567.2333333333333,9,1010,439,1130,527
567.2333333333333,10,1653,448,1696,585
567.2333333333333,11,337,421,530,538
600.6,0,838,454,1063,557
600.6,1,133,442,576,598
600.6,2,0,428,296,582
600.6,3,1239,456,1361,540
600.6,4,1193,447,1292,519
600.6,5,868,432,910,534
600.6,6,1340,429,1408,487
600.6,7,1810,580,1862,702
600.6,8,1119,419,1222,512
600.6,9,1009,440,1128,527
600.6,10,1653,448,1696,585
600.6,11,328,421,527,540
633.9666666666667,0,832,454,1059,557
633.9666666666667,1,133,442,576,598
633.9666666666667,2,0,428,296,583
633.9666666666667,3,1237,456,1359,540
633.9666666666667,4,1193,447,1292,519
633.9666666666667,5,868,432,910,534
633.9666666666667,6,1340,429,1408,487
633.9666666666667,7,1810,580,1862,702
633.9666666666667,8,1118,419,1221,513
633.9666666666667,9,1006,441,1126,528
633.9666666666667,10,1653,448,1696,585
633.9666666666667,11,319,421,526,540
633.9666666666667,12,575,426,620,525
667.3333333333334,0,826,454,1055,558
667.3333333333334,1,133,442,576,598
667.3333333333334,2,0,428,295,584
667.3333333333334,3,1235,456,1358,540
667.3333333333334,4,1191,447,1290,519
667.3333333333334,5,868,432,910,534
667.3333333333334,6,1340,429,1408,487
667.3333333333334,7,1810,580,1862,702
667.3333333333334,8,1117,418,1220,513
667.3333333333334,9,1004,442,1124,528
667.3333333333334,10,1653,448,1696,585
667.3333333333334,11,311,421,524,541
667.3333333333334,12,575,426,620,525
700.7,0,819,454,1051,558
700.7,1,133,442,576,598
700.7,2,0,429,292,586
700.7,3,1233,456,1356,540
700.7,4,1190,447,1288,519
700.7,5,868,432,910,534
700.7,6,1340,429,1408,487
700.7,7,1810,580,1862,702
700.7,8,1115,418,1220,513
700.7,9,1002,442,1122,528
700.7,10,1653,448,1696,585
700.7,11,303,420,522,542
700.7,12,575,426,620,525
734.0666666666667,0,812,453,1046,558
734.0666666666667,1,133,442,576,598
734.0666666666667,2,0,429,287,587
734.0666666666667,3,1231,456,1355,541
734.0666666666667,4,1190,447,1288,519
734.0666666666667,5,868,432,910,534
734.0666666666667,6,1340,429,1408,487
734.0666666666667,7,1810,580,1862,702
734.0666666666667,8,1114,418,1219,513
734.0666666666667,9,998,443,1120,528
734.0666666666667,10,1653,448,1696,585
734.0666666666667,11,298,420,521,542
734.0666666666667,12,575,426,620,525
767.4333333333334,0,806,453,1041,559
767.4333333333334,1,133,442,576,598
767.4333333333334,2,0,429,282,587
767.4333333333334,3,1231,456,1355,541
767.4333333333334,4,1189,447,1290,520
767.4333333333334,5,868,432,910,534
767.4333333333334,6,1340,429,1408,487
767.4333333333334,7,1810,580,1862,702
767.4333333333334,8,1113,418,1218,513
767.4333333333334,9,995,443,1119,528
767.4333333333334,10,1653,448,1696,585
767.4333333333334,11,294,420,520,543
767.4333333333334,12,575,426,620,525
767.4333333333334,13,1,417,229,546
767.4333333333334,14,0,430,186,610
800.8000000000001,0,799,453,1036,559
800.8000000000001,1,133,442,576,598
800.8000000000001,2,0,429,282,587
800.8000000000001,3,1231,456,1355,541
800.8000000000001,4,1189,448,1291,522
800.8000000000001,5,868,432,910,534
800.8000000000001,6,1340,429,1408,487
800.8000000000001,7,1810,580,1862,702
800.8000000000001,8,1111,418,1216,513
800.8000000000001,9,993,443,1117,528
800.8000000000001,10,1653,448,1696,585
800.8000000000001,11,290,419,519,543
800.8000000000001,12,573,427,616,524
800.8000000000001,13,0,415,247,547
800.8000000000001,14,0,429,169,610
834.1666666666667,0,791,453,1032,560
834.1666666666667,1,133,442,576,598
834.1666666666667,2,0,429,282,587
834.1666666666667,3,1231,456,1355,541
834.1666666666667,4,1189,448,1292,523
834.1666666666667,5,868,432,910,534
834.1666666666667,6,1331,430,1399,487
834.1666666666667,7,1810,580,1862,702
834.1666666666667,8,1110,418,1216,513
834.1666666666667,9,990,444,1115,529
834.1666666666667,10,1653,448,1696,585
834.1666666666667,11,290,419,519,543
834.1666666666667,12,571,426,615,524
834.1666666666667,13,1,415,254,549
834.1666666666667,14,0,432,154,610
